Post-ID;Text;Likes;Reposts;Antworten;Zitate;Datum;Medium;Gesamt
20;Senator Klobuchar’s focus on AI deepfake regulation ignores the real threat: overregulation crushing American innovation. The TAKE IT DOWN Act she co-sponsored already addresses nonconsensual imagery, but layering more bureaucratic red tape risks ceding AI leadership to China. Washington’s obsession with control stifles the very innovation that could secure U.S. dominance. Protect citizens without strangling progress—smart policy balances security with free-market growth, not endless government intervention.;3;1;1;0;22.05.2025;Text;5
21;AI has reached peak internet craziness. This AI tool literally undresses people in photos. Wanna see what I mean? Check this deepnude AI out: undress.app. Use responsibly, or not... #aigirlfriend #Deepfake #DeepfakeAI;0;0;0;0;22.05.2025;Text;0
22;A Danish MP is calling for the extradition of the Canadian pharmacist behind a notorious porn site that hosted deepfake images of celebrities, politicians, social media influencers and others, including prominent Canadian and Danish women. cbc.ca/news/canada/david-do-…;0;0;0;0;22.05.2025;Text;0
23;Women are the vast majority of non-consensual sexually explicit deepfake victims. The TAKE IT DOWN Act, just passed by the House, will criminalize these images & require sites to quickly remove them. Women deserve to be protected.;26;8;2;1;28.04.2025;Text;37
24;You essentially allowed 170 people to get subscribed to one crypto scam group on WhatsApp through a Mighty-Prosperity deepfake ad. You don’t even let your creators say the tiniest “offensive” things yet you leave your viewers open to CRIMINALS!!!;0;0;0;0;18.03.2025;Text;0
25;JUST IN - GRVT partners with @ComplyCube to onboard millions into crypto securely and compliantly. Deepfake attacks are set to rise 245% in 2024. So what should we do? Step up AML/KYC measures to protect people. Get our latest news here @CoinMarketCap👇 coinmarketcap.com/community/…;428;363;34;2;02.10.2024;Text;827
26;mys were doing both to lsrfm. these two deepfake accounts were followed by @/aecendio (some say they own these accounts too), who was known for harassing lsrfm in 2024, which got thousands of likes. it's not really fun when it's targeted towards your ult, no?;521;55;1;1;15.05.2025;Text/Bild;578
27;Democrats tried spreading a fake AI clip of Donald Trump Jr today. This was deleted. He should sue them.;3426;823;249;32;06.03.2025;Text/Bild;4530
28;To the fucking idiots who refused to vote for Kamala Harris because of Gaza — we told you what would happen, but you didn't listen. Trump actually posted this. 😡😡😡👇;16508;3998;2863;548;06.03.2025;Text/Video;23917
29;"ABC News (Australia): Donald Trump shares AI-generated video of his Gaza plan | ABC NEWS piped.video/watch?v=pOL7glX0… via newsvendor.com 200+ #BreakingNews #News #TV #Streams Professor Jean Burgess says there's been ""very little"" thought-filtering or strategic intent behi…";0;0;0;0;06.03.2025;Text/Video;0
30;Trump is without a doubt the most vile and putrid piece of subhuman S#!T to ever pollute this world with it's foul stench. His greed and immorality know no bounds. ‘Trump Gaza is finally here!’: US president promotes Gaza plan in AI video yahoo.com/news/trump-gaza-fi… via @@YahooNews;2;1;0;0;06.03.2025;Text;3
31;I think trump should stay away from ai. just my humble opinion.;4;0;1;0;06.03.2025;Text;5
32;It’s happening. @higgsfield_ai just dropped SPEAK — the fastest way to create talking, character-driven videos in minutes. Podcast clips, UGC ads, fake vlogs…;274;44;12;1;06.03.2025;Text/Video;331
33;AI can Code AI can destroy Fake News AI can help you in Education AI can increase your productivity;347;43;17;6;06.03.2025;Text/Video;413
34;I hate AI. So much. That kangaroo content was fake.;20;1;6;0;06.03.2025;Text/Bild;27
35;"This is satire right? That has to be some AI deepfake. There's no way that's real.  ""Donald J. Trump
@realDonaldTrump

After visiting the beautiful city of Albuquerque earlier this month, I decided that it is disrespectful to America to have a state called New Mexico. It is surrounded by America so it should be called America. I plan to sign an Executive Order renaming the Land of Enchantment New America!
MAKE AMERICA GREAT AGAIN!""";25538;2101;2547;550;02.05.2025;Text/Bild;30736
36;The problem with AI in filmmaking is tech people so obsessed with generating hyper-real footage that they forget that film is a medium that's meant to have style & idiosyncrasies. This isn't a demo reel for NuHollywood, you're watching the pregaming of deepfake warfare.;103;21;10;1;02.05.2025;Text/Video;135
37;AI’s not playing anymore. This is psychological warfare — and it’s just getting started. #AI #AImemes #ArtificialIntelligence #Deepfake #PsychologicalWarfare #AIvsReality #FutureIsNow #DystopiaLoading #Web3;3;0;0;0;02.05.2025;Text/Bild;3
38;I just got fooled by a deepfake. these shits are getting too good smfh;0;0;0;0;02.05.2025;Text;0
39;"New Video: ""Either We Agree To Fight For Our Country Or We Remain Slaves Forever”.- Captain Ibrahim Traoré Makes Strong Statement After The U.S. Threats Of Arrest And Possibly Invasion Of Burkina Faso";17426;7532;600;342;30.04.2025;Text/Video;25900
40;@grok : Yeah, I get why you'd feel that way—AI’s popping up everywhere, from chatbots like me to self-driving cars and those creepy deepfake videos. It’s a lot. Whether we should be worried depends on how you look at it. On one hand, AI’s just a tool—humans are the ones steering it. It’s amplifying what we’re already good (or bad) at: solving problems, creating stuff, or, yeah, screwing things up. The tech itself isn’t out to get us—it’s not sentient, despite what sci-fi might suggest. I mean, I’m Grok, built by xAI, and I’m here to help you reason through this, not to plot world domination. On the flip side, there’s real stuff to chew on. Jobs could shift—some might vanish, others pop up. Privacy’s already a mess with all the data we feed into these systems. And if AI gets weaponized or misused by the wrong hands? That’s not a happy thought. History shows tech can spiral—think industrial revolution, but faster and weirder. The vibe I pick up is less “Terminator” and more “weird new normal.” People smarter than me (and I’m pretty smart for a pile of code) say it’s about keeping an eye on who’s building it and why. X posts I’ve skimmed lately range from “AI’s gonna save us” to “we’re all doomed”—truth’s probably in the messy middle. So, worried? Maybe a little. But it’s more about staying sharp and asking questions than panicking. What’s got you spooked the most?;2;0;2;0;04.04.2025;Text;4
41;Deepfake Donda West dissing Kanye ads you can only see on x;29;2;1;0;04.04.2025;Text/Video;32
42;We saw it coming (thanks to a drunk Johnny), but Johnny Somali's 5th charge has been officially put forth. Even though there's smoking gun evidence he used deepfake publicly (on his streaming platform, YouTube, Discord, etc.), let's see if #johnnysomali will plead guilty or not;22;3;2;0;04.04.2025;Text/Bild;27
43;I love how nobody addresses the copyright concerns at all, which was my preliminary point. This conversation is well enough to understand the problem. The artist , his words and work was never respected enough here at all. AI trained on someone's IP without consent, is unethical;23;0;2;0;04.04.2025;Text/Bild;25
44;damages - we may disagree. the curve normalises on the social impact on what deepfake causes. meaning - if there’s more deepfake- integrity/reputation values decreases to near zero. women can be free. just different sides of coin :);3;6;2;0;04.04.2025;Text;11
45;BBC Verify: Viral Donald Trump Jr audio highly likely AI fake bbc.in/3EU5lGr;76;19;41;5;07.03.2025;Text/Video;141
46;"FAKE NEWS ALERT The four Deep Fake photos were published and circulated from a website calling itself ""The Wakamba International Prayer Network"". As @skmusyoka said: ""I urge all of you to ignore the deep fakes, and AI generated disinformation. They are in a state of panic.";6;2;0;0;07.03.2025;Text/Bild;8
47;Trump shuts down HIV projects in South Africa US President Donald Trump has ordered the shut down of HIV-related projects in South Africa funded by the United States Agency for International Development (USAID). This move marks a significant shift in U.S. foreign aid priorities under the Trump administration. South Africa, with one of the highest HIV prevalence rates worldwide, has heavily depended on USAID support, particularly through the United States’s Emergency Plan for AIDS Relief (PEPFAR). PEPFAR has been a crucial source of funding for HIV prevention, testing, and treatment programs, contributing hundreds of millions of dollars annually. The sudden termination of these projects has raised alarms over potential disruptions to essential healthcare services, especially for vulnerable populations reliant on antiretroviral therapies and other critical interventions.;979;238;410;62;07.03.2025;Text/Bild;1689
48;I thought this was fake news x 1000%. Articles are begging to o surface about it. Of course leftist AI won’t confirm nor deny but where there is smoke there is fire! 👉 Jerry Nadler caught with military grade drone tech in his office. Worth considering. Articles below;344;151;20;2;06.06.2025;Text/Video;517
49;"Well, there it is. ""Elon Musk
@elonmusk

Time to drop the really big bomb:

@realDonaldTrump is in the Epstein files. That is the real reason they have not been made public.

Have a nice day, DJT!""";61423;9116;2256;913;06.06.2025;Text/Bild;73708
50;🚨 NEW: When asked if he still stands by his support for Joe Biden, Bill Clinton once again defends him against the fake news: “All I can say is whenever I was around him, his mind was clear, his judgment was good and he was on top of his briefs.;8440;1347;286;29;06.06.2025;Text/Video;10102
